,User,Location,Tweet,Tweet_clean,Tweet_token,Tweet_nonstop,Tweet_freq
0,ikokaziKE,Kenya,Are you a qualified graphic just posted a job you might be interested in,Are you a qualified graphic just posted a job you might be interested in,"['are', 'you', 'a', 'qualified', 'graphic', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in']","['qualified', 'graphic', 'posted', 'job', 'might', 'interested']",1
1,ikokaziKE,Kenya,Are you a qualified ba Finance501 just posted a job you might be interested in,Are you a qualified ba Finance501 just posted a job you might be interested in,"['are', 'you', 'a', 'qualified', 'ba', 'finance501', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in']","['qualified', 'ba', 'finance501', 'posted', 'job', 'might', 'interested']",1
2,ikokaziKE,Kenya,Are you a qualified finance Finance501 just posted a job you might be interested in,Are you a qualified finance Finance501 just posted a job you might be interested in,"['are', 'you', 'a', 'qualified', 'finance', 'finance501', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in']","['qualified', 'finance', 'finance501', 'posted', 'job', 'might', 'interested']",1
3,ikokaziKE,Kenya,Are you a qualified graphic design just posted a job you might be interested in,Are you a qualified graphic design just posted a job you might be interested in,"['are', 'you', 'a', 'qualified', 'graphic', 'design', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in']","['qualified', 'graphic', 'design', 'posted', 'job', 'might', 'interested']",1
4,ikokaziKE,Kenya,Are you a qualified digital marketing officer just posted a job you might be interested in,Are you a qualified digital marketing officer just posted a job you might be interested in,"['are', 'you', 'a', 'qualified', 'digital', 'marketing', 'officer', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in']","['qualified', 'digital', 'marketing', 'officer', 'posted', 'job', 'might', 'interested']",1
5,ikokaziKE,Kenya,Are you a qualified office just posted a job you might be interested in,Are you a qualified office just posted a job you might be interested in,"['are', 'you', 'a', 'qualified', 'office', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in']","['qualified', 'office', 'posted', 'job', 'might', 'interested']",1
6,ikokaziKE,Kenya,Are you a qualified finance administration officer just posted a job you might be interested in,Are you a qualified finance administration officer just posted a job you might be interested in,"['are', 'you', 'a', 'qualified', 'finance', 'administration', 'officer', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in']","['qualified', 'finance', 'administration', 'officer', 'posted', 'job', 'might', 'interested']",1
7,ikokaziKE,Kenya,Are you a qualified intern just posted a job you might be interested in,Are you a qualified intern just posted a job you might be interested in,"['are', 'you', 'a', 'qualified', 'intern', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in']","['qualified', 'intern', 'posted', 'job', 'might', 'interested']",1
8,ikokaziKE,Kenya,Are you a qualified intern just posted a job you might be interested in,Are you a qualified intern just posted a job you might be interested in,"['are', 'you', 'a', 'qualified', 'intern', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in']","['qualified', 'intern', 'posted', 'job', 'might', 'interested']",1
9,ikokaziKE,Kenya,Are you a qualified business administration manager just posted a job you might be interested in,Are you a qualified business administration manager just posted a job you might be interested in,"['are', 'you', 'a', 'qualified', 'business', 'administration', 'manager', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in']","['qualified', 'business', 'administration', 'manager', 'posted', 'job', 'might', 'interested']",1
10,ikokaziKE,Kenya,Are you a qualified human resource just posted a job you might be interested in,Are you a qualified human resource just posted a job you might be interested in,"['are', 'you', 'a', 'qualified', 'human', 'resource', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in']","['qualified', 'human', 'resource', 'posted', 'job', 'might', 'interested']",1
11,ikokaziKE,Kenya,Are you a qualified engineering just posted a job you might be interested in,Are you a qualified engineering just posted a job you might be interested in,"['are', 'you', 'a', 'qualified', 'engineering', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in']","['qualified', 'engineering', 'posted', 'job', 'might', 'interested']",1
12,ikokaziKE,Kenya,Are you a qualified intern just posted a job you might be interested in,Are you a qualified intern just posted a job you might be interested in,"['are', 'you', 'a', 'qualified', 'intern', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in']","['qualified', 'intern', 'posted', 'job', 'might', 'interested']",1
13,ikokaziKE,Kenya,Are you a qualified analyst just posted a job you might be interested in,Are you a qualified analyst just posted a job you might be interested in,"['are', 'you', 'a', 'qualified', 'analyst', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in']","['qualified', 'analyst', 'posted', 'job', 'might', 'interested']",1
14,ikokaziKE,Kenya,Are you a qualified just posted a job you might be interested in with experience,Are you a qualified just posted a job you might be interested in with experience,"['are', 'you', 'a', 'qualified', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in', 'with', 'experience']","['qualified', 'posted', 'job', 'might', 'interested', 'experience']",1
15,ikokaziKE,Kenya,Are you a qualified just posted a job you might be interested in with 5 experience,Are you a qualified just posted a job you might be interested in with experience,"['are', 'you', 'a', 'qualified', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in', 'with', 'experience']","['qualified', 'posted', 'job', 'might', 'interested', 'experience']",1
16,ikokaziKE,Kenya,Are you a qualified intern just posted a job you might be interested in,Are you a qualified intern just posted a job you might be interested in,"['are', 'you', 'a', 'qualified', 'intern', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in']","['qualified', 'intern', 'posted', 'job', 'might', 'interested']",1
17,ikokaziKE,Kenya,Are you a qualified and just posted a job you might be interested in,Are you a qualified and just posted a job you might be interested in,"['are', 'you', 'a', 'qualified', 'and', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in']","['qualified', 'posted', 'job', 'might', 'interested']",1
18,ikokaziKE,Kenya,Are you a qualified executive just posted a job you might be interested in,Are you a qualified executive just posted a job you might be interested in,"['are', 'you', 'a', 'qualified', 'executive', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in']","['qualified', 'executive', 'posted', 'job', 'might', 'interested']",1
19,ikokaziKE,Kenya,Are you a qualified office just posted a job you might be interested in,Are you a qualified office just posted a job you might be interested in,"['are', 'you', 'a', 'qualified', 'office', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in']","['qualified', 'office', 'posted', 'job', 'might', 'interested']",1
20,ikokaziKE,Kenya,Are you a qualified manager just posted a job you might be interested in,Are you a qualified manager just posted a job you might be interested in,"['are', 'you', 'a', 'qualified', 'manager', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in']","['qualified', 'manager', 'posted', 'job', 'might', 'interested']",1
21,ikokaziKE,Kenya,Are you a qualified agent just posted a job you might be interested in,Are you a qualified agent just posted a job you might be interested in,"['are', 'you', 'a', 'qualified', 'agent', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in']","['qualified', 'agent', 'posted', 'job', 'might', 'interested']",1
22,ikokaziKE,Kenya,Are you a qualified manager just posted a job you might be interested in,Are you a qualified manager just posted a job you might be interested in,"['are', 'you', 'a', 'qualified', 'manager', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in']","['qualified', 'manager', 'posted', 'job', 'might', 'interested']",1
23,ikokaziKE,Kenya,Are you a qualified clinical officer just posted a job you might be interested in,Are you a qualified clinical officer just posted a job you might be interested in,"['are', 'you', 'a', 'qualified', 'clinical', 'officer', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in']","['qualified', 'clinical', 'officer', 'posted', 'job', 'might', 'interested']",1
24,ikokaziKE,Kenya,Are you a qualified word just posted a job you might be interested in,Are you a qualified word just posted a job you might be interested in,"['are', 'you', 'a', 'qualified', 'word', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in']","['qualified', 'word', 'posted', 'job', 'might', 'interested']",1
25,ikokaziKE,Kenya,Are you a qualified business development manager just posted a job you might be interested in,Are you a qualified business development manager just posted a job you might be interested in,"['are', 'you', 'a', 'qualified', 'business', 'development', 'manager', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in']","['qualified', 'business', 'development', 'manager', 'posted', 'job', 'might', 'interested']",1
26,ikokaziKE,Kenya,Are you a qualified just posted a job you might be interested in,Are you a qualified just posted a job you might be interested in,"['are', 'you', 'a', 'qualified', 'just', 'posted', 'a', 'job', 'you', 'might', 'be', 'interested', 'in']","['qualified', 'posted', 'job', 'might', 'interested']",1
0,shecyclesnbi,Nairobi,,,[''],[''],0
1,kaLefti,Nairobi,Late night kazi ya logos Business bizz,Late night kazi ya logos Business bizz,"['late', 'night', 'kazi', 'ya', 'logos', 'business', 'bizz']","['late', 'night', 'kazi', 'ya', 'logos', 'business', 'bizz']",0
2,shecyclesnbi,Nairobi,for,for,['for'],[],0
3,shecyclesnbi,Nairobi,for,for,['for'],[],0
